"kata"
"di"
"dan"
"yang"
"lah"
"la"
"kok"
"si"
"sih"
"dengan"
"dari"
"sisi"
"sebelah"
"mana"
"sana"
"cuma"
"cuman"
"hanya"
"yaitu"
"woi"
"woy"
"nah"
"kan"
"ini"
"permainan"
"mainan"
"main"
"lah"
"dari"
"sini"
"nya"
"ada"
"ketika"
"saat"
"itu"
"adalah"
"nih"
"ni"
"tiba"
"tim"
"buat"
"team"
"selalu"
"masa"
"lagi"
"segi"
"dah"
"jadi"
"juga"
"sudah"
"karena"
"pilih"
"playstore"
"play store"
