kata2
"dan"
"atau"
"tapi"
"jika"
"dengan"
"tanpa"
"lagi"
"sudah"
"hanya"
"juga"
"saat"
"ketika"
"setelah"
"sebelum"
"meskipun"
"karena"
"level"
"mode"
"fitur"
"karakter"
"musuh"
"item"
"quest"
"misi"
"ini"
"itu"
"tersebut"
"sebut"
"hal"
"suatu"
